2024-11-18 02:13:26,503 p=46913 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 12:15:39,011 p=40976 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:15:40,085 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:40,090 p=40976 u=jason n=ansible | TASK [bind : Install Bind9] *********************************************************************************************************************************************
2024-11-18 12:15:41,300 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:41,307 p=40976 u=jason n=ansible | TASK [bind : Template named.conf.options] *******************************************************************************************************************************
2024-11-18 12:15:42,189 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:42,195 p=40976 u=jason n=ansible | TASK [bind : Template named.conf.local] *********************************************************************************************************************************
2024-11-18 12:15:42,984 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:42,991 p=40976 u=jason n=ansible | TASK [bind : Template forward zone file] ********************************************************************************************************************************
2024-11-18 12:15:44,328 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:44,333 p=40976 u=jason n=ansible | TASK [bind : Template reverse zone file] ********************************************************************************************************************************
2024-11-18 12:15:45,036 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:45,045 p=40976 u=jason n=ansible | TASK [bind : Validate Bind9 Configuration] ******************************************************************************************************************************
2024-11-18 12:15:45,487 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:45,492 p=40976 u=jason n=ansible | TASK [bind : Validate Forward Zone] *************************************************************************************************************************************
2024-11-18 12:15:45,902 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:45,908 p=40976 u=jason n=ansible | TASK [bind : Validate Reverse Zone] *************************************************************************************************************************************
2024-11-18 12:15:46,348 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:46,356 p=40976 u=jason n=ansible | TASK [bind : Ensure Bind9 is running and enabled] ***********************************************************************************************************************
2024-11-18 12:15:46,912 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:46,919 p=40976 u=jason n=ansible | PLAY [Configure DNS Client] *********************************************************************************************************************************************
2024-11-18 12:15:46,926 p=40976 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:15:47,971 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:15:48,026 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:48,030 p=40976 u=jason n=ansible | TASK [config-dns : Resolv.conf] *****************************************************************************************************************************************
2024-11-18 12:15:48,717 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:15:48,718 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:48,724 p=40976 u=jason n=ansible | TASK [config-dns : Stop systemd-resolved] *******************************************************************************************************************************
2024-11-18 12:15:49,236 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 12:15:49,281 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:49,289 p=40976 u=jason n=ansible | PLAY [Prometheus Server] ************************************************************************************************************************************************
2024-11-18 12:15:49,294 p=40976 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:15:50,328 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:50,332 p=40976 u=jason n=ansible | TASK [prometheus : Install Prometheus] **********************************************************************************************************************************
2024-11-18 12:15:51,455 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:51,462 p=40976 u=jason n=ansible | TASK [prometheus : Copy Prometheus default file] ************************************************************************************************************************
2024-11-18 12:15:52,175 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:52,182 p=40976 u=jason n=ansible | TASK [prometheus : Modify /etc/prometheus/prometheus.yml] ***************************************************************************************************************
2024-11-18 12:15:52,865 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:52,872 p=40976 u=jason n=ansible | TASK [prometheus : Enable Prometheus] ***********************************************************************************************************************************
2024-11-18 12:15:53,393 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:53,400 p=40976 u=jason n=ansible | PLAY [Configure Database Server] ****************************************************************************************************************************************
2024-11-18 12:15:53,407 p=40976 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 12:15:54,410 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:54,414 p=40976 u=jason n=ansible | TASK [mysql : Install MySQL Server] *************************************************************************************************************************************
2024-11-18 12:15:55,587 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 12:15:55,594 p=40976 u=jason n=ansible | TASK [mysql : Copy Override Config] *************************************************************************************************************************************
2024-11-18 12:15:56,343 p=40976 u=jason n=ansible | ok: [1PipeTeaseOps-2]
